finger1_BaseJoint finger1_MidJoint finger2_BaseJoint finger2_MidJoint finger3_BaseJoint finger3_MidJoint brick_translate_y_joint brick_translate_z_joint brick_revolute_x_joint
-0.30520289484028662041 0.63061862508497446012 0.23988112065842867593 -0.73253906807533819556 -0.45943095693772739718 0.79007304111259912816 0.0068783949476982041149 0.0011063393607377226997 0.65846265469783393787
-0.30520289484028662041 0.63061862508497446012 0.23988112065842867593 -0.73253906807533819556 -0.45943095693772739718 0.79007304111259912816 0.0068783949476982041149 0.0011063393607377226997 0.65846265469783393787
-0.43662117795820154509 0.62888867946967641487 0.16967069894196498692 -0.84639384933693873059 -0.51546390999786495524 0.8514498211850194398 -0.00086067139647230076361 -0.0039574946512433524168 0.86387482200678700206
-0.49375123004258070214 0.6111121421346724647 0.2444147811794993852 -0.82253472383695003245 -0.51653710687750153951 0.85185451689626434657 -0.0060302137437470973089 -0.0061106296319700199524 0.96226580767763658653
-0.5536250919938480175 0.58934259124016830089 0.31915970513647318185 -0.79867599694471569372 -0.50559428460104272052 0.85502495928936639302 -0.012701618569538846229 -0.0085381563755638160279 1.057438341882271704
-0.57996310933957950784 0.56522185678281622323 0.41915970513647315965 -0.71916100109473313218 -0.48367987445137650138 0.82150879160829393122 -0.016566951396304072791 -0.0092473590376164118559 1.1186788038288335567
-0.50674311851849795918 0.54849617775585080004 0.51640302070321797423 -0.59269466275469262495 -0.47185036038498956446 0.72227476877011831391 -0.0090353452446175694379 -0.0054528528103752020584 1.0701876166390138501
-0.41270310817055771979 0.5283295103823425487 0.55920227578307513117 -0.48163428571577959758 -0.45211287595438676146 0.61884354005264352594 -0.00025814019578122209073 -0.001093379845992075881 0.98468321156922289372
-0.29480679174121238173 0.49812379288026759072 0.45920227578307509786 -0.43737467109636080087 -0.41765675985312028518 0.52398665729847659911 0.0085970835410366097662 0.0036566951696060329483 0.85085044421744537857
-0.29480679174121238173 0.49812379288026759072 0.45920227578307509786 -0.43737467109636080087 -0.41765675985312028518 0.52398665729847659911 0.0085970835410366097662 0.0036566951696060329483 0.85085044421744537857
-0.32899081189149403937 0.48201720259207936348 0.44349476101913209991 -0.44743479191636059689 -0.42376929942635971349 0.52255257982066516398 0.0059010711858173969802 0.0021305739993408099459 0.91909489159815549453
-0.35464453860329919754 0.4553378828248135779 0.41959115845723732319 -0.44315706208917587938 -0.41925447965311823939 0.50377137267943605803 0.0031865017795776563389 0.00086919984955612778193 0.98313011462049926248
-0.37105343162620230135 0.42309845223919484436 0.39182461042886723712 -0.42777973850341788342 -0.40699352746955569371 0.473191167909288668 0.00074747047620524317748 -6.8952843496971081899e-05 1.0376288108520088649
-0.38026871672806283886 0.38857927152797183679 0.3629969966175289886 -0.40522777978229179707 -0.39013844570706207593 0.43583030002910189138 -0.0013573168387988169842 -0.00075295223922441044655 1.0828495227880481355
-0.38426200042419450531 0.35324641095141784408 0.33434154181090791624 -0.37800560944199673719 -0.37061694847125775665 0.39450527501079452053 -0.0031579317162147681544 -0.0012587006932629157905 1.1204376984955566332
-0.38439551896167412082 0.31771899352643040437 0.30636628808186611161 -0.34754844649776844845 -0.34950132504540842859 0.35070036259210246588 -0.004695544188726308299 -0.001640844025239159747 1.1518332455751385535
-0.38156929432845448913 0.28226901152209193935 0.2792856195713060985 -0.31470570023229932355 -0.32740826996308441954 0.30523807221653886934 -0.0060045265209346110336 -0.0019361754963144273221 1.1780814976684532702
-0.37638751998687985934 0.24702336501624264087 0.25319344494134338186 -0.28001033573878708616 -0.3047158816367270262 0.25861075934907473695 -0.007110824533636119632 -0.0021696417199599383856 1.1999162946163113297
